4.8088e+05+4.9799e+06i
4.81e+05+4.9798e+06i
4.8121e+05+4.9794e+06i
4.8163e+05+4.9793e+06i
4.8198e+05+4.9791e+06i
4.8225e+05+4.9788e+06i
4.8246e+05+4.9786e+06i
4.8282e+05+4.9782e+06i
4.8305e+05+4.978e+06i
4.8342e+05+4.9776e+06i
4.837e+05+4.9774e+06i
4.8393e+05+4.9768e+06i
4.8391e+05+4.976e+06i
4.84e+05+4.975e+06i
4.8388e+05+4.9742e+06i
4.8391e+05+4.9736e+06i
4.8405e+05+4.973e+06i
4.8428e+05+4.9726e+06i
4.8472e+05+4.9724e+06i
4.8461e+05+4.972e+06i
4.8481e+05+4.9715e+06i
4.8519e+05+4.9712e+06i
4.8575e+05+4.9711e+06i
4.8631e+05+4.9712e+06i
4.8686e+05+4.9715e+06i
4.8747e+05+4.972e+06i
