480824,4969185,242.93
480852,4969192,242.93
480874,4969198,242.93
480898,4969203,242.93
480917,4969208,242.93
480932,4969211,242.93
480946,4969215,242.93
480961,4969218,242.93
480980,4969223,242.93
480999,4969227,242.93
481020,4969233,242.93
481050,4969238,242.93
481095,4969248,242.93
481154,4969261,242.93
481216,4969275,242.93
481291,4969290,242.93
481300,4969220,242.93
481230,4969205,242.93
481170,4969191,242.93
481112,4969177,242.93
481066,4969166,242.93
481039,4969159,242.93
481017,4969154,242.93
480999,4969150,242.93
480979,4969144,242.93
480963,4969140,242.93
480950,4969137,242.93
480935,4969134,242.93
480918,4969130,242.93
480890,4969123,242.93
480868,4969119,242.93
480842,4969111,242.93
481340,4970450,245.36
481365,4970433,245.36
481380,4970420,245.36
481392,4970393,245.36
481405,4970365,245.36
481417,4970338,245.36
481429,4970311,245.36
481442,4970283,245.36
481454,4970256,245.36
481470,4970220,245.36
481497,4970208,245.36
481525,4970196,245.36
481290,4969960,243.84
481305,4969986,243.84
481319,4970012,243.84
481334,4970038,243.84
481349,4970065,243.84
481270,4967770,243.84
481258,4967797,243.84
481245,4967825,243.84
481233,4967852,243.84
481221,4967880,243.84
481209,4967907,243.84
481196,4967934,243.84
481184,4967962,243.84
481301,4967768,243.84
481331,4967766,243.84
481362,4967764,243.84
481392,4967762,243.84
481423,4967760,243.84
482099,4969850,240.79
482124,4969834,240.79
482150,4969818,240.79
482175,4969802,240.79
482201,4969787,240.79
482226,4969771,240.79
482252,4969755,240.79
482277,4969739,240.79
482303,4969723,240.79
482328,4969707,240.79
482354,4969691,240.79
482379,4969675,240.79
482170,4969270,243.84
482170,4969350,243.84
482200,4969270,243.84
482200,4969350,243.84
482230,4969270,243.84
482230,4969350,243.84
482260,4969270,243.84
482260,4969350,243.84
482290,4969270,243.84
482290,4969350,243.84
482320,4969270,243.84
482320,4969350,243.84
482350,4969270,243.84
482350,4969350,243.84
