4.8123e+05+4.9799e+06i
4.8193e+05+4.9796e+06i
4.8255e+05+4.979e+06i
4.8346e+05+4.978e+06i
4.8401e+05+4.9776e+06i
4.8421e+05+4.9765e+06i
4.8407e+05+4.9751e+06i
4.8421e+05+4.9736e+06i
4.8455e+05+4.9728e+06i
4.8506e+05+4.972e+06i
