4.7823e+05,4.9847e+06
4.7832e+05,4.9837e+06
4.7823e+05,4.9826e+06
4.7871e+05,4.9819e+06
4.7944e+05,4.9812e+06
4.8044e+05,4.9807e+06
4.8098e+05,4.9803e+06
4.8123e+05,4.9796e+06
4.8216e+05,4.9794e+06
4.8307e+05,4.9781e+06
4.8398e+05,4.9771e+06
4.8407e+05,4.9757e+06
4.8407e+05,4.9742e+06
4.8413e+05,4.9729e+06
4.8453e+05,4.9726e+06
4.8486e+05,4.9721e+06
4.8498e+05,4.9716e+06
4.8525e+05,4.9708e+06
4.8498e+05,4.9698e+06
4.8471e+05,4.969e+06
4.8425e+05,4.9682e+06
4.8332e+05,4.9675e+06
4.8226e+05,4.9668e+06
4.811e+05,4.9651e+06
4.8059e+05,4.9643e+06
4.8014e+05,4.9636e+06
4.7944e+05,4.9626e+06
4.7823e+05,4.9619e+06
4.7641e+05,4.9612e+06
4.755e+05,4.9608e+06
4.7408e+05,4.9602e+06
4.7259e+05,4.96e+06
4.7108e+05,4.9598e+06
4.6996e+05,4.9599e+06
4.6944e+05,4.9606e+06
4.6832e+05,4.9611e+06
4.6642e+05,4.9617e+06
4.6536e+05,4.9622e+06
4.6378e+05,4.9615e+06
4.6145e+05,4.9614e+06
4.5824e+05,4.9613e+06
